REF_DATE,GEO,Sex,Age group,Employment,Full-time employment,Labour force,Part-time employment ,Population,Unemployment,Employment rate,Participation rate,Unemployment rate
2021-12-01,Ontario,Both sexes,15 years and over,7687300.0,6287200.0,8209200.000000001,1400100.0,12419900.0,521900.0,61.9,66.1,6.4
2021-12-01,Prince Edward Island,Both sexes,15 years and over,83700.0,68700.0,91600.0,15100.0,136400.0,7800.0,61.4,67.2,8.5
2021-12-01,Quebec,Both sexes,15 years and over,4371600.0,3579000.0,4583200.0,792700.0,7119900.0,211500.0,61.4,64.4,4.6
2021-12-01,Saskatchewan,Both sexes,15 years and over,570100.0,469400.0,603700.0,100700.0,890900.0,33600.0,64.0,67.8,5.6
2022-01-01,Alberta,Both sexes,15 years and over,2330300.0,1885400.0,2501300.0,444900.0,3573900.0,171000.0,65.2,70.0,6.8
2022-01-01,British Columbia,Both sexes,15 years and over,2709900.0,2124700.0,2856300.0,585200.0,4396300.0,146400.0,61.6,65.0,5.1
2022-01-01,Canada,Both sexes,15 years and over,19286000.0,15845500.0,20624000.0,3440500.0,31546700.0,1338000.0,61.1,65.4,6.5
2022-01-01,Manitoba,Both sexes,15 years and over,674700.0,550900.0,708900.0,123800.0,1055700.0,34200.0,63.9,67.1,4.8
2022-01-01,New Brunswick,Both sexes,15 years and over,361000.0,311800.0,394900.0,49200.0,656300.0,34000.0,55.0,60.2,8.6
2022-01-01,Newfoundland and Labrador,Both sexes,15 years and over,223500.0,195400.0,260500.0,28100.0,446400.0,37000.0,50.1,58.4,14.2
2022-01-01,Nova Scotia,Both sexes,15 years and over,476800.0,400500.0,511600.0,76300.0,830000.0,34800.0,57.4,61.6,6.8
2022-01-01,Ontario,Both sexes,15 years and over,7538500.0,6264600.0,8145700.0,1274000.0,12436100.0,607200.0,60.6,65.5,7.5
2022-01-01,Prince Edward Island,Both sexes,15 years and over,81500.0,69100.0,90400.0,12400.0,136800.0,8900.0,59.6,66.1,9.8
2022-01-01,Quebec,Both sexes,15 years and over,4315000.0,3565200.0,4545600.0,749800.0,7123500.0,230600.0,60.6,63.8,5.1
2022-01-01,Saskatchewan,Both sexes,15 years and over,574800.0,477900.0,608600.0,96900.0,891800.0,33900.0,64.5,68.2,5.6
2022-02-01,Alberta,Both sexes,15 years and over,2354400.0,1897500.0,2515800.0,456900.0,3580200.0,161400.0,65.8,70.3,6.4
2022-02-01,British Columbia,Both sexes,15 years and over,2742100.0,2177100.0,2878800.0,565000.0,4403500.0,136700.0,62.3,65.4,4.7
2022-02-01,Canada,Both sexes,15 years and over,19643800.0,16023100.0,20769700.0,3620700.0,31588800.0,1125900.0,62.2,65.8,5.4
2022-02-01,Manitoba,Both sexes,15 years and over,680200.0,546300.0,711900.0,133900.0,1057100.0,31700.0,64.3,67.3,4.5
2022-02-01,New Brunswick,Both sexes,15 years and over,366500.0,314400.0,396100.0,52200.0,657600.0,29600.0,55.7,60.2,7.5
